mass_flow_rate,pressure_ratio
4.00000e-01,3.56000e+00
4.05880e-01,3.61410e+00
4.11765e-01,3.66820e+00
4.17645e-01,3.72240e+00
4.23530e-01,3.77650e+00
4.29410e-01,3.83060e+00
4.35295e-01,3.88470e+00
4.41175e-01,3.93880e+00
4.47060e-01,3.99300e+00
4.52940e-01,4.04710e+00
4.58825e-01,4.10120e+00
4.64705e-01,4.15530e+00
4.70590e-01,4.20940e+00
4.76470e-01,4.26350e+00
4.82355e-01,4.31760e+00
4.88235e-01,4.37180e+00
4.94120e-01,4.42590e+00
5.00000e-01,4.45000e+00
