mass_flow_rate,pressure_ratio
16.0000,3.2800
16.1176,3.2912
16.2353,3.3024
16.3529,3.3136
16.4706,3.3248
16.5882,3.3360
16.7059,3.3472
16.8235,3.3584
16.9412,3.3696
17.0588,3.3808
17.1765,3.3920
17.2941,3.4032
17.4118,3.4144
17.5294,3.4256
17.6471,3.4368
17.7647,3.4480
17.8824,3.4592
18.0000,3.6900
