mass_flow_rate,pressure_ratio
4.00000e-01,1.64000e+00
4.05880e-01,1.65060e+00
4.11765e-01,1.66120e+00
4.17645e-01,1.67180e+00
4.23530e-01,1.68240e+00
4.29410e-01,1.69300e+00
4.35295e-01,1.70360e+00
4.41175e-01,1.71420e+00
4.47060e-01,1.72480e+00
4.52940e-01,1.73540e+00
4.58825e-01,1.74600e+00
4.64705e-01,1.75660e+00
4.70590e-01,1.76720e+00
4.76470e-01,1.77780e+00
4.82355e-01,1.78840e+00
4.88235e-01,1.79900e+00
4.94120e-01,1.80960e+00
5.00000e-01,2.05000e+00
